================================================================================
# Listar los módulos instalados 
================================================================================
-+-----------------------------------------------+-----------------+ 
-| Nombre                                        | Estado          | 
|    +-- sale_credit_limit..................... | not activated   | 
|    +-- sale_discount......................... | not activated   | 
|    +-- sale_extra............................ | not activated   | 
|    +-- sale_gift_card........................ | not activated   | 
|    +-- sale_history.......................... | not activated   | 
|    +-- sale_invoice_date..................... | not activated   | 
|    +-- sale_invoice_grouping................. | not activated   | 
|    +-- sale_opportunity...................... | not activated   | 
|    +-- sale_payment.......................... | not activated   | 
|    +-- sale_point............................ | not activated   | 
|    +-- sale_price_list....................... | not activated   | 
|    +-- sale_product_customer................. | not activated   | 
|    +-- sale_product_quantity................. | not activated   | 
|    +-- sale_product_recommendation........... | not activated   | 
|    +-- sale_product_recommendation_associatio | not activated   | 
|    +-- sale_promotion........................ | not activated   | 
|    +-- sale_promotion_coupon................. | not activated   | 
|    +-- sale_promotion_coupon_payment......... | not activated   | 
|    +-- sale_rental........................... | not activated   | 
|    +-- sale_rental_progress_invoice.......... | not activated   | 
|    +-- sale_secondary_unit................... | not activated   | 
|    +-- sale_shipment_cost.................... | not activated   | 
|    +-- sale_shipment_grouping................ | not activated   | 
|    +-- sale_shipment_tolerance............... | not activated   | 
|    +-- sale_stock_quantity................... | not activated   | 
|    +-- sale_subscription..................... | not activated   | 
|    +-- sale_subscription_asset............... | not activated   | 
|    +-- sale_supply........................... | not activated   | 
|    +-- sale_supply_drop_shipment............. | not activated   | 
|    +-- sale_supply_production................ | not activated   | 
| stock........................................ | activated       | 
|    +-- stock_assign_manual................... | not activated   | 
|    +-- stock_consignment..................... | not activated   | 
|    +-- stock_forecast........................ | not activated   | 
|    +-- stock_inventory_location.............. | not activated   | 
|    +-- stock_location_move................... | not activated   | 
|    +-- stock_location_sequence............... | not activated   | 
|    +-- stock_lot............................. | not activated   | 
|    +-- stock_lot_sled........................ | not activated   | 
|    +-- stock_lot_unit........................ | not activated   | 
|    +-- stock_package......................... | not activated   | 
|    +-- stock_package_shipping................ | not activated   | 
|    +-- stock_package_shipping_dpd............ | not activated   | 
|    +-- stock_package_shipping_mygls.......... | not activated   | 
|    +-- stock_package_shipping_sendcloud...... | not activated   | 
|    +-- stock_package_shipping_ups............ | not activated   | 
|    +-- stock_product_location................ | not activated   | 
|    +-- stock_product_location_place.......... | not activated   | 
|    +-- stock_quantity_early_planning......... | not activated   | 
|    +-- stock_quantity_issue.................. | not activated   | 
|    +-- stock_secondary_unit.................. | not activated   | 
|    +-- stock_shipment_cost................... | not activated   | 
|    +-- stock_shipment_cost_weight............ | not activated   | 
|    +-- stock_shipment_customs................ | not activated   | 
|    +-- stock_shipment_measurements........... | not activated   | 
|    +-- stock_shipping_point.................. | not activated   | 
|    +-- stock_split........................... | not activated   | 
|    +-- stock_supply.......................... | not activated   | 
|    +-- stock_supply_day...................... | not activated   | 
|    +-- stock_supply_forecast................. | not activated   | 
|    +-- stock_supply_production............... | not activated   | 
| timesheet.................................... | activated       | 
|    +-- timesheet_cost........................ | not activated   | 
| user_role.................................... | not activated   | 
| web_shop..................................... | not activated   | 
|    +-- web_shop_product_data_feed............ | not activated   | 
|    +-- web_shop_shopify...................... | not activated   | 
|    +-- web_shop_vue_storefront............... | not activated   | 
|    +-- web_shop_vue_storefront_stripe........ | not activated   | 
|    +-- web_shortener......................... | not activated   | 
|    +-- web_user.............................. | not activated   | 
-+-----------------------------------------------+-----------------+ 
---------------------------------------------------------------------------------
# Resumen auditoría:
# Fecha inicío: 25/02/2026 - 00:07:53
# Fecha final: 25/02/2026 - 00:08:09
# Tiempo de ejecución: 00:00:15,94
# Total registros: 218
---------------------------------------------------------------------------------
